---------------------------------------------------------
Time	|	PC 	 | AluIn1	| AluIn2	| AluOut	|
---------------------------------------------------------
  0.0 	| xxxxxxxx |xxxxxxxx 	|xxxxxxxx 	|xxxxxxxx 	| 
  0.9 	| 00000168 |00000000 	|00000000 	|00000000 	| 
  0.9 	| 0000016c |00000000 	|00000000 	|00000000 	| 
  1.0 	| 00000170 |00000000 	|00000000 	|00000000 	| 
  1.0 	| 00000174 |00000000 	|00000000 	|00000000 	| 
  1.0 	| 00000178 |00000000 	|00000000 	|00000000 	| 
  1.0 	| 0000017c |00000000 	|00000000 	|00000000 	| 
  1.0 	| 00000180 |00000000 	|00000000 	|00000000 	| 
  1.0 	| 00000184 |00000000 	|00000000 	|00000000 	| 
  1.0 	| 00000188 |00000000 	|00000000 	|00000000 	| 
  1.0 	| 0000018c |00000000 	|00000000 	|00000000 	| 
  1.0 	| 00000190 |00000000 	|00000000 	|00000000 	| 
  1.1 	| 00000194 |00000000 	|00000000 	|00000000 	| 
  1.1 	| 00000198 |00000000 	|00000000 	|00000000 	| 
  1.1 	| 0000019c |00000000 	|00000000 	|00000000 	| 
  1.1 	| 000001a0 |00000000 	|00000000 	|00000000 	| 
  1.1 	| 000001a4 |00000000 	|00000000 	|00000000 	| 
  1.1 	| 000001a8 |00000000 	|00000000 	|00000000 	| 
  1.1 	| 000001ac |00000000 	|00000000 	|00000000 	| 
  1.1 	| 000001b0 |00000000 	|00000000 	|00000000 	| 
  1.1 	| 000001b4 |00000000 	|00000000 	|00000000 	| 
  1.1 	| 000001b8 |00000000 	|00000000 	|00000000 	| 
  1.1 	| 000001bc |00000000 	|00000000 	|00000000 	| 
  1.2 	| 000001c0 |00000000 	|00000000 	|00000000 	| 
  1.2 	| 000001c4 |00000000 	|00000000 	|00000000 	| 
  1.2 	| 000001c8 |00000000 	|00000000 	|00000000 	| 
  1.2 	| 000001cc |00000000 	|00000000 	|00000000 	| 
  1.2 	| 000001d0 |00000000 	|00000000 	|00000000 	| 
  1.2 	| 000001d4 |00000000 	|00000000 	|00000000 	| 
  1.2 	| 000001d8 |00000000 	|00000000 	|00000000 	| 
  1.2 	| 000001dc |00000000 	|00000000 	|00000000 	| 
  1.2 	| 000001e0 |00000000 	|00000000 	|00000000 	| 
  1.3 	| 000001e4 |00000000 	|00000000 	|00000000 	| 
  1.3 	| 000001e8 |00000000 	|00000000 	|00000000 	| 
  1.3 	| 000001ec |00000000 	|00000000 	|00000000 	| 
  1.3 	| 000001f0 |00000000 	|00000000 	|00000000 	| 
  1.3 	| 000001f4 |00000000 	|00000000 	|00000000 	| 
  1.3 	| 000001f8 |00000000 	|00000000 	|00000000 	| 
  1.3 	| 000001fc |00000000 	|00000000 	|00000000 	| 
  1.3 	| 00000200 |00000000 	|00000000 	|00000000 	| 
  1.3 	| 00000204 |00000000 	|00000000 	|00000000 	| 
  1.3 	| 00000208 |00000000 	|00000000 	|00000000 	| 
  1.4 	| 0000020c |00000000 	|00000000 	|00000000 	| 
  1.4 	| 00000210 |00000000 	|00000000 	|00000000 	| 
  1.4 	| 00000214 |00000000 	|00000000 	|00000000 	| 
  1.4 	| 00000218 |00000000 	|00000000 	|00000000 	| 
  1.4 	| 0000021c |00000000 	|00000000 	|00000000 	| 
  1.4 	| 00000220 |00000000 	|00000000 	|00000000 	| 
  1.4 	| 00000224 |00000000 	|00000000 	|00000000 	| 
  1.4 	| 00000228 |00000000 	|00000000 	|00000000 	| 
  1.4 	| 0000022c |00000000 	|00000000 	|00000000 	| 
  1.4 	| 00000230 |00000000 	|00000000 	|00000000 	| 
  1.5 	| 00000234 |00000000 	|00000000 	|00000000 	| 
  1.5 	| 00000238 |00000000 	|00000000 	|00000000 	| 
  1.5 	| 0000023c |00000000 	|00000000 	|00000000 	| 
  1.5 	| 00000240 |00000000 	|00000000 	|00000000 	| 
  1.5 	| 00000244 |00000000 	|00000000 	|00000000 	| 
  1.5 	| 00000248 |00000000 	|00000000 	|00000000 	| 
  1.5 	| 0000024c |00000000 	|00000000 	|00000000 	| 
  1.5 	| 00000250 |00000000 	|00000000 	|00000000 	| 
  1.5 	| 00000254 |00000000 	|00000000 	|00000000 	| 
  1.5 	| 00000258 |00000000 	|00000000 	|00000000 	| 
  1.6 	| 0000025c |00000000 	|00000000 	|00000000 	| 
  1.6 	| 00000260 |00000000 	|00000000 	|00000000 	| 
  1.6 	| 00000264 |00000000 	|00000000 	|00000000 	| 
  1.6 	| 00000268 |00000000 	|00000000 	|00000000 	| 
  1.6 	| 0000026c |00000000 	|00000000 	|00000000 	| 
  1.6 	| 00000270 |00000000 	|00000000 	|00000000 	| 
  1.6 	| 00000274 |00000000 	|00000000 	|00000000 	| 
  1.6 	| 00000278 |00000000 	|00000000 	|00000000 	| 
  1.6 	| 0000027c |00000000 	|00000000 	|00000000 	| 
  1.6 	| 00000280 |00000000 	|00000000 	|00000000 	| 
  1.6 	| 00000284 |00000000 	|00000000 	|00000000 	| 
  1.7 	| 00000288 |00000000 	|00000000 	|00000000 	| 
  1.7 	| 0000028c |00000000 	|00000000 	|00000000 	| 
  1.7 	| 00000290 |00000000 	|00000000 	|00000000 	| 
  1.7 	| 00000294 |00000000 	|00000000 	|00000000 	| 
  1.7 	| 00000298 |00000000 	|00000000 	|00000000 	| 
  1.7 	| 0000029c |00000000 	|00000000 	|00000000 	| 
  1.7 	| 000002a0 |00000000 	|00000000 	|00000000 	| 
  1.7 	| 000002a4 |00000000 	|00000000 	|00000000 	| 
  1.7 	| 000002a8 |00000000 	|00000000 	|00000000 	| 
  1.8 	| 000002ac |00000000 	|00000000 	|00000000 	| 
  1.8 	| 000002b0 |00000000 	|00000000 	|00000000 	| 
  1.8 	| 000002b4 |00000000 	|00000000 	|00000000 	| 
  1.8 	| 000002b8 |00000000 	|00000000 	|00000000 	| 
  1.8 	| 000002bc |00000000 	|00000000 	|00000000 	| 
  1.8 	| 000002c0 |00000000 	|00000000 	|00000000 	| 
  1.8 	| 000002c4 |00000000 	|00000000 	|00000000 	| 
  1.8 	| 000002c8 |00000000 	|00000000 	|00000000 	| 
  1.8 	| 000002cc |00000000 	|00000000 	|00000000 	| 
  1.8 	| 000002d0 |00000000 	|00000000 	|00000000 	| 
  1.9 	| 000002d4 |00000000 	|00000000 	|00000000 	| 
  1.9 	| 000002d8 |00000000 	|00000000 	|00000000 	| 
  1.9 	| 000002dc |00000000 	|00000000 	|00000000 	| 
  1.9 	| 000002e0 |00000000 	|00000000 	|00000000 	| 
  1.9 	| 000002e4 |00000000 	|00000000 	|00000000 	| 
  1.9 	| 000002e8 |00000000 	|00000000 	|00000000 	| 
  1.9 	| 000002ec |00000000 	|00000000 	|00000000 	| 
  1.9 	| 000002f0 |00000000 	|00000000 	|00000000 	| 
  1.9 	| 000002f4 |00000000 	|00000000 	|00000000 	| 
  1.9 	| 000002f8 |00000000 	|00000000 	|00000000 	| 
  2.0 	| 000002fc |00000000 	|00000000 	|00000000 	| 
  2.0 	| 00000300 |00000000 	|00000000 	|00000000 	| 
  2.0 	| 00000304 |00000000 	|00000000 	|00000000 	| 
  2.0 	| 00000308 |00000000 	|00000000 	|00000000 	| 
  2.0 	| 0000030c |00000000 	|00000000 	|00000000 	| 
  2.0 	| 00000310 |00000000 	|00000000 	|00000000 	| 
  2.0 	| 00000314 |00000000 	|00000000 	|00000000 	| 
  2.0 	| 00000318 |00000000 	|00000000 	|00000000 	| 
  2.0 	| 0000031c |00000000 	|00000000 	|00000000 	| 
  2.0 	| 00000320 |00000000 	|00000000 	|00000000 	| 
  2.0 	| 00000324 |00000000 	|00000000 	|00000000 	| 
  2.1 	| 00000328 |00000000 	|00000000 	|00000000 	| 
  2.1 	| 0000032c |00000000 	|00000000 	|00000000 	| 
  2.1 	| 00000330 |00000000 	|00000000 	|00000000 	| 
  2.1 	| 00000334 |00000000 	|00000000 	|00000000 	| 
  2.1 	| 00000338 |00000000 	|00000000 	|00000000 	| 
  2.1 	| 0000033c |00000000 	|00000000 	|00000000 	| 
  2.1 	| 00000340 |00000000 	|00000000 	|00000000 	| 
  2.1 	| 00000344 |00000000 	|00000000 	|00000000 	| 
  2.1 	| 00000348 |00000000 	|00000000 	|00000000 	| 
  2.1 	| 0000034c |00000000 	|00000000 	|00000000 	| 
  2.2 	| 00000350 |00000000 	|00000000 	|00000000 	| 
  2.2 	| 00000354 |00000000 	|00000000 	|00000000 	| 
  2.2 	| 00000358 |00000000 	|00000000 	|00000000 	| 
  2.2 	| 0000035c |00000000 	|00000000 	|00000000 	| 
  2.2 	| 00000360 |00000000 	|00000000 	|00000000 	| 
  2.2 	| 00000364 |00000000 	|00000000 	|00000000 	| 
  2.2 	| 00000368 |00000000 	|00000000 	|00000000 	| 
  2.2 	| 0000036c |00000000 	|00000000 	|00000000 	| 
  2.2 	| 00000370 |00000000 	|00000000 	|00000000 	| 
  2.3 	| 00000374 |00000000 	|00000000 	|00000000 	| 
  2.3 	| 00000378 |00000000 	|00000000 	|00000000 	| 
  2.3 	| 0000037c |00000000 	|00000000 	|00000000 	| 
  2.3 	| 00000380 |00000000 	|00000000 	|00000000 	| 
  2.3 	| 00000384 |00000000 	|00000000 	|00000000 	| 
  2.3 	| 00000388 |00000000 	|00000000 	|00000000 	| 
  2.3 	| 0000038c |00000000 	|00000000 	|00000000 	| 
  2.3 	| 00000390 |00000000 	|00000000 	|00000000 	| 
  2.3 	| 00000394 |00000000 	|00000000 	|00000000 	| 
  2.3 	| 00000398 |00000000 	|00000000 	|00000000 	| 
  2.4 	| 0000039c |00000000 	|00000000 	|00000000 	| 
  2.4 	| 000003a0 |00000000 	|00000000 	|00000000 	| 
  2.4 	| 000003a4 |00000000 	|00000000 	|00000000 	| 
  2.4 	| 000003a8 |00000000 	|00000000 	|00000000 	| 
  2.4 	| 000003ac |00000000 	|00000000 	|00000000 	| 
  2.4 	| 000003b0 |00000000 	|00000000 	|00000000 	| 
  2.4 	| 000003b4 |00000000 	|00000000 	|00000000 	| 
  2.4 	| 000003b8 |00000000 	|00000000 	|00000000 	| 
  2.4 	| 000003bc |00000000 	|00000000 	|00000000 	| 
