---------------------------------------------------------
Time	|	PC 	 | AluIn1	| AluIn2	| AluOut	|
---------------------------------------------------------
  0.0 	| xxxxxxxx |xxxxxxxx 	|xxxxxxxx 	|xxxxxxxx 	| 
  4.1 	| 00000654 |00000000 	|00000000 	|00000000 	| 
  4.1 	| 00000658 |00000000 	|00000000 	|00000000 	| 
  4.1 	| 0000065c |00000000 	|00000000 	|00000000 	| 
  4.1 	| 00000660 |00000000 	|00000000 	|00000000 	| 
  4.1 	| 00000664 |00000000 	|00000000 	|00000000 	| 
  4.1 	| 00000668 |00000000 	|00000000 	|00000000 	| 
  4.2 	| 0000066c |00000000 	|00000000 	|00000000 	| 
  4.2 	| 00000670 |00000000 	|00000000 	|00000000 	| 
  4.2 	| 00000674 |00000000 	|00000000 	|00000000 	| 
  4.2 	| 00000678 |00000000 	|00000000 	|00000000 	| 
  4.2 	| 0000067c |00000000 	|00000000 	|00000000 	| 
  4.2 	| 00000680 |00000000 	|00000000 	|00000000 	| 
  4.2 	| 00000684 |00000000 	|00000000 	|00000000 	| 
  4.2 	| 00000688 |00000000 	|00000000 	|00000000 	| 
  4.2 	| 0000068c |00000000 	|00000000 	|00000000 	| 
  4.2 	| 00000690 |00000000 	|00000000 	|00000000 	| 
  4.3 	| 00000694 |00000000 	|00000000 	|00000000 	| 
  4.3 	| 00000698 |00000000 	|00000000 	|00000000 	| 
  4.3 	| 0000069c |00000000 	|00000000 	|00000000 	| 
  4.3 	| 000006a0 |00000000 	|00000000 	|00000000 	| 
  4.3 	| 000006a4 |00000000 	|00000000 	|00000000 	| 
  4.3 	| 000006a8 |00000000 	|00000000 	|00000000 	| 
  4.3 	| 000006ac |00000000 	|00000000 	|00000000 	| 
  4.3 	| 000006b0 |00000000 	|00000000 	|00000000 	| 
  4.3 	| 000006b4 |00000000 	|00000000 	|00000000 	| 
  4.3 	| 000006b8 |00000000 	|00000000 	|00000000 	| 
  4.3 	| 000006bc |00000000 	|00000000 	|00000000 	| 
  4.4 	| 000006c0 |00000000 	|00000000 	|00000000 	| 
  4.4 	| 000006c4 |00000000 	|00000000 	|00000000 	| 
  4.4 	| 000006c8 |00000000 	|00000000 	|00000000 	| 
  4.4 	| 000006cc |00000000 	|00000000 	|00000000 	| 
  4.4 	| 000006d0 |00000000 	|00000000 	|00000000 	| 
  4.4 	| 000006d4 |00000000 	|00000000 	|00000000 	| 
  4.4 	| 000006d8 |00000000 	|00000000 	|00000000 	| 
  4.4 	| 000006dc |00000000 	|00000000 	|00000000 	| 
  4.4 	| 000006e0 |00000000 	|00000000 	|00000000 	| 
  4.5 	| 000006e4 |00000000 	|00000000 	|00000000 	| 
  4.5 	| 000006e8 |00000000 	|00000000 	|00000000 	| 
  4.5 	| 000006ec |00000000 	|00000000 	|00000000 	| 
  4.5 	| 000006f0 |00000000 	|00000000 	|00000000 	| 
  4.5 	| 000006f4 |00000000 	|00000000 	|00000000 	| 
  4.5 	| 000006f8 |00000000 	|00000000 	|00000000 	| 
  4.5 	| 000006fc |00000000 	|00000000 	|00000000 	| 
  4.5 	| 00000700 |00000000 	|00000000 	|00000000 	| 
  4.5 	| 00000704 |00000000 	|00000000 	|00000000 	| 
  4.5 	| 00000708 |00000000 	|00000000 	|00000000 	| 
  4.5 	| 0000070c |00000000 	|00000000 	|00000000 	| 
  4.6 	| 00000710 |00000000 	|00000000 	|00000000 	| 
  4.6 	| 00000714 |00000000 	|00000000 	|00000000 	| 
  4.6 	| 00000718 |00000000 	|00000000 	|00000000 	| 
  4.6 	| 0000071c |00000000 	|00000000 	|00000000 	| 
  4.6 	| 00000720 |00000000 	|00000000 	|00000000 	| 
  4.6 	| 00000724 |00000000 	|00000000 	|00000000 	| 
  4.6 	| 00000728 |00000000 	|00000000 	|00000000 	| 
  4.6 	| 0000072c |00000000 	|00000000 	|00000000 	| 
  4.6 	| 00000730 |00000000 	|00000000 	|00000000 	| 
  4.7 	| 00000734 |00000000 	|00000000 	|00000000 	| 
  4.7 	| 00000738 |00000000 	|00000000 	|00000000 	| 
  4.7 	| 0000073c |00000000 	|00000000 	|00000000 	| 
  4.7 	| 00000740 |00000000 	|00000000 	|00000000 	| 
  4.7 	| 00000744 |00000000 	|00000000 	|00000000 	| 
  4.7 	| 00000748 |00000000 	|00000000 	|00000000 	| 
  4.7 	| 0000074c |00000000 	|00000000 	|00000000 	| 
  4.7 	| 00000750 |00000000 	|00000000 	|00000000 	| 
  4.7 	| 00000754 |00000000 	|00000000 	|00000000 	| 
  4.7 	| 00000758 |00000000 	|00000000 	|00000000 	| 
  4.8 	| 0000075c |00000000 	|00000000 	|00000000 	| 
  4.8 	| 00000760 |00000000 	|00000000 	|00000000 	| 
  4.8 	| 00000764 |00000000 	|00000000 	|00000000 	| 
  4.8 	| 00000768 |00000000 	|00000000 	|00000000 	| 
  4.8 	| 0000076c |00000000 	|00000000 	|00000000 	| 
  4.8 	| 00000770 |00000000 	|00000000 	|00000000 	| 
  4.8 	| 00000774 |00000000 	|00000000 	|00000000 	| 
  4.8 	| 00000778 |00000000 	|00000000 	|00000000 	| 
  4.8 	| 0000077c |00000000 	|00000000 	|00000000 	| 
  4.8 	| 00000780 |00000000 	|00000000 	|00000000 	| 
  4.8 	| 00000784 |00000000 	|00000000 	|00000000 	| 
  4.9 	| 00000788 |00000000 	|00000000 	|00000000 	| 
  4.9 	| 0000078c |00000000 	|00000000 	|00000000 	| 
  4.9 	| 00000790 |00000000 	|00000000 	|00000000 	| 
  4.9 	| 00000794 |00000000 	|00000000 	|00000000 	| 
  4.9 	| 00000798 |00000000 	|00000000 	|00000000 	| 
  4.9 	| 0000079c |00000000 	|00000000 	|00000000 	| 
  4.9 	| 000007a0 |00000000 	|00000000 	|00000000 	| 
  4.9 	| 000007a4 |00000000 	|00000000 	|00000000 	| 
  4.9 	| 000007a8 |00000000 	|00000000 	|00000000 	| 
  5.0 	| 000007ac |00000000 	|00000000 	|00000000 	| 
  5.0 	| 000007b0 |00000000 	|00000000 	|00000000 	| 
  5.0 	| 000007b4 |00000000 	|00000000 	|00000000 	| 
  5.0 	| 000007b8 |00000000 	|00000000 	|00000000 	| 
  5.0 	| 000007bc |00000000 	|00000000 	|00000000 	| 
  5.0 	| 000007c0 |00000000 	|00000000 	|00000000 	| 
  5.0 	| 000007c4 |00000000 	|00000000 	|00000000 	| 
  5.0 	| 000007c8 |00000000 	|00000000 	|00000000 	| 
  5.0 	| 000007cc |00000000 	|00000000 	|00000000 	| 
  5.0 	| 000007d0 |00000000 	|00000000 	|00000000 	| 
  5.0 	| 000007d4 |00000000 	|00000000 	|00000000 	| 
  5.1 	| 000007d8 |00000000 	|00000000 	|00000000 	| 
  5.1 	| 000007dc |00000000 	|00000000 	|00000000 	| 
  5.1 	| 000007e0 |00000000 	|00000000 	|00000000 	| 
  5.1 	| 000007e4 |00000000 	|00000000 	|00000000 	| 
  5.1 	| 000007e8 |00000000 	|00000000 	|00000000 	| 
  5.1 	| 000007ec |00000000 	|00000000 	|00000000 	| 
  5.1 	| 000007f0 |00000000 	|00000000 	|00000000 	| 
  5.1 	| 000007f4 |00000000 	|00000000 	|00000000 	| 
  5.1 	| 000007f8 |00000000 	|00000000 	|00000000 	| 
  5.2 	| 000007fc |00000000 	|00000000 	|00000000 	| 
  5.2 	| 00000800 |00000000 	|00000000 	|00000000 	| 
  5.2 	| 00000804 |00000000 	|00000000 	|00000000 	| 
  5.2 	| 00000808 |00000000 	|00000000 	|00000000 	| 
  5.2 	| 0000080c |00000000 	|00000000 	|00000000 	| 
  5.2 	| 00000810 |00000000 	|00000000 	|00000000 	| 
  5.2 	| 00000814 |00000000 	|00000000 	|00000000 	| 
  5.2 	| 00000818 |00000000 	|00000000 	|00000000 	| 
  5.2 	| 0000081c |00000000 	|00000000 	|00000000 	| 
  5.2 	| 00000820 |00000000 	|00000000 	|00000000 	| 
  5.3 	| 00000824 |00000000 	|00000000 	|00000000 	| 
  5.3 	| 00000828 |00000000 	|00000000 	|00000000 	| 
  5.3 	| 0000082c |00000000 	|00000000 	|00000000 	| 
  5.3 	| 00000830 |00000000 	|00000000 	|00000000 	| 
  5.3 	| 00000834 |00000000 	|00000000 	|00000000 	| 
  5.3 	| 00000838 |00000000 	|00000000 	|00000000 	| 
  5.3 	| 0000083c |00000000 	|00000000 	|00000000 	| 
  5.3 	| 00000840 |00000000 	|00000000 	|00000000 	| 
  5.3 	| 00000844 |00000000 	|00000000 	|00000000 	| 
  5.3 	| 00000848 |00000000 	|00000000 	|00000000 	| 
  5.3 	| 0000084c |00000000 	|00000000 	|00000000 	| 
  5.4 	| 00000850 |00000000 	|00000000 	|00000000 	| 
  5.4 	| 00000854 |00000000 	|00000000 	|00000000 	| 
  5.4 	| 00000858 |00000000 	|00000000 	|00000000 	| 
  5.4 	| 0000085c |00000000 	|00000000 	|00000000 	| 
  5.4 	| 00000860 |00000000 	|00000000 	|00000000 	| 
  5.4 	| 00000864 |00000000 	|00000000 	|00000000 	| 
  5.4 	| 00000868 |00000000 	|00000000 	|00000000 	| 
  5.4 	| 0000086c |00000000 	|00000000 	|00000000 	| 
  5.4 	| 00000870 |00000000 	|00000000 	|00000000 	| 
  5.5 	| 00000874 |00000000 	|00000000 	|00000000 	| 
  5.5 	| 00000878 |00000000 	|00000000 	|00000000 	| 
  5.5 	| 0000087c |00000000 	|00000000 	|00000000 	| 
  5.5 	| 00000880 |00000000 	|00000000 	|00000000 	| 
  5.5 	| 00000884 |00000000 	|00000000 	|00000000 	| 
  5.5 	| 00000888 |00000000 	|00000000 	|00000000 	| 
  5.5 	| 0000088c |00000000 	|00000000 	|00000000 	| 
  5.5 	| 00000890 |00000000 	|00000000 	|00000000 	| 
  5.5 	| 00000894 |00000000 	|00000000 	|00000000 	| 
  5.5 	| 00000898 |00000000 	|00000000 	|00000000 	| 
  5.5 	| 0000089c |00000000 	|00000000 	|00000000 	| 
  5.6 	| 000008a0 |00000000 	|00000000 	|00000000 	| 
  5.6 	| 000008a4 |00000000 	|00000000 	|00000000 	| 
  5.6 	| 000008a8 |00000000 	|00000000 	|00000000 	| 
  5.6 	| 000008ac |00000000 	|00000000 	|00000000 	| 
  5.6 	| 000008b0 |00000000 	|00000000 	|00000000 	| 
  5.6 	| 000008b4 |00000000 	|00000000 	|00000000 	| 
  5.6 	| 000008b8 |00000000 	|00000000 	|00000000 	| 
  5.6 	| 000008bc |00000000 	|00000000 	|00000000 	| 
  5.6 	| 000008c0 |00000000 	|00000000 	|00000000 	| 
  5.7 	| 000008c4 |00000000 	|00000000 	|00000000 	| 
  5.7 	| 000008c8 |00000000 	|00000000 	|00000000 	| 
  5.7 	| 000008cc |00000000 	|00000000 	|00000000 	| 
  5.7 	| 000008d0 |00000000 	|00000000 	|00000000 	| 
  5.7 	| 000008d4 |00000000 	|00000000 	|00000000 	| 
  5.7 	| 000008d8 |00000000 	|00000000 	|00000000 	| 
  5.7 	| 000008dc |00000000 	|00000000 	|00000000 	| 
  5.7 	| 000008e0 |00000000 	|00000000 	|00000000 	| 
  5.7 	| 000008e4 |00000000 	|00000000 	|00000000 	| 
  5.7 	| 000008e8 |00000000 	|00000000 	|00000000 	| 
  5.8 	| 000008ec |00000000 	|00000000 	|00000000 	| 
  5.8 	| 000008f0 |00000000 	|00000000 	|00000000 	| 
  5.8 	| 000008f4 |00000000 	|00000000 	|00000000 	| 
  5.8 	| 000008f8 |00000000 	|00000000 	|00000000 	| 
  5.8 	| 000008fc |00000000 	|00000000 	|00000000 	| 
  5.8 	| 00000900 |00000000 	|00000000 	|00000000 	| 
  5.8 	| 00000904 |00000000 	|00000000 	|00000000 	| 
  5.8 	| 00000908 |00000000 	|00000000 	|00000000 	| 
  5.8 	| 0000090c |00000000 	|00000000 	|00000000 	| 
  5.8 	| 00000910 |00000000 	|00000000 	|00000000 	| 
  5.8 	| 00000914 |00000000 	|00000000 	|00000000 	| 
  5.9 	| 00000918 |00000000 	|00000000 	|00000000 	| 
  5.9 	| 0000091c |00000000 	|00000000 	|00000000 	| 
  5.9 	| 00000920 |00000000 	|00000000 	|00000000 	| 
  5.9 	| 00000924 |00000000 	|00000000 	|00000000 	| 
  5.9 	| 00000928 |00000000 	|00000000 	|00000000 	| 
  5.9 	| 0000092c |00000000 	|00000000 	|00000000 	| 
  5.9 	| 00000930 |00000000 	|00000000 	|00000000 	| 
  5.9 	| 00000934 |00000000 	|00000000 	|00000000 	| 
  5.9 	| 00000938 |00000000 	|00000000 	|00000000 	| 
  6.0 	| 0000093c |00000000 	|00000000 	|00000000 	| 
  6.0 	| 00000940 |00000000 	|00000000 	|00000000 	| 
  6.0 	| 00000944 |00000000 	|00000000 	|00000000 	| 
  6.0 	| 00000948 |00000000 	|00000000 	|00000000 	| 
  6.0 	| 0000094c |00000000 	|00000000 	|00000000 	| 
  6.0 	| 00000950 |00000000 	|00000000 	|00000000 	| 
  6.0 	| 00000954 |00000000 	|00000000 	|00000000 	| 
  6.0 	| 00000958 |00000000 	|00000000 	|00000000 	| 
  6.0 	| 0000095c |00000000 	|00000000 	|00000000 	| 
  6.0 	| 00000960 |00000000 	|00000000 	|00000000 	| 
  6.0 	| 00000964 |00000000 	|00000000 	|00000000 	| 
  6.1 	| 00000968 |00000000 	|00000000 	|00000000 	| 
  6.1 	| 0000096c |00000000 	|00000000 	|00000000 	| 
  6.1 	| 00000970 |00000000 	|00000000 	|00000000 	| 
  6.1 	| 00000974 |00000000 	|00000000 	|00000000 	| 
  6.1 	| 00000978 |00000000 	|00000000 	|00000000 	| 
  6.1 	| 0000097c |00000000 	|00000000 	|00000000 	| 
  6.1 	| 00000980 |00000000 	|00000000 	|00000000 	| 
  6.1 	| 00000984 |00000000 	|00000000 	|00000000 	| 
  6.1 	| 00000988 |00000000 	|00000000 	|00000000 	| 
  6.2 	| 0000098c |00000000 	|00000000 	|00000000 	| 
  6.2 	| 00000990 |00000000 	|00000000 	|00000000 	| 
  6.2 	| 00000994 |00000000 	|00000000 	|00000000 	| 
  6.2 	| 00000998 |00000000 	|00000000 	|00000000 	| 
  6.2 	| 0000099c |00000000 	|00000000 	|00000000 	| 
  6.2 	| 000009a0 |00000000 	|00000000 	|00000000 	| 
  6.2 	| 000009a4 |00000000 	|00000000 	|00000000 	| 
  6.2 	| 000009a8 |00000000 	|00000000 	|00000000 	| 
  6.2 	| 000009ac |00000000 	|00000000 	|00000000 	| 
  6.2 	| 000009b0 |00000000 	|00000000 	|00000000 	| 
  6.3 	| 000009b4 |00000000 	|00000000 	|00000000 	| 
  6.3 	| 000009b8 |00000000 	|00000000 	|00000000 	| 
  6.3 	| 000009bc |00000000 	|00000000 	|00000000 	| 
  6.3 	| 000009c0 |00000000 	|00000000 	|00000000 	| 
  6.3 	| 000009c4 |00000000 	|00000000 	|00000000 	| 
  6.3 	| 000009c8 |00000000 	|00000000 	|00000000 	| 
  6.3 	| 000009cc |00000000 	|00000000 	|00000000 	| 
  6.3 	| 000009d0 |00000000 	|00000000 	|00000000 	| 
  6.3 	| 000009d4 |00000000 	|00000000 	|00000000 	| 
  6.3 	| 000009d8 |00000000 	|00000000 	|00000000 	| 
  6.3 	| 000009dc |00000000 	|00000000 	|00000000 	| 
  6.4 	| 000009e0 |00000000 	|00000000 	|00000000 	| 
  6.4 	| 000009e4 |00000000 	|00000000 	|00000000 	| 
  6.4 	| 000009e8 |00000000 	|00000000 	|00000000 	| 
  6.4 	| 000009ec |00000000 	|00000000 	|00000000 	| 
  6.4 	| 000009f0 |00000000 	|00000000 	|00000000 	| 
  6.4 	| 000009f4 |00000000 	|00000000 	|00000000 	| 
  6.4 	| 000009f8 |00000000 	|00000000 	|00000000 	| 
  6.4 	| 000009fc |00000000 	|00000000 	|00000000 	| 
  6.4 	| 00000a00 |00000000 	|00000000 	|00000000 	| 
  6.5 	| 00000a04 |00000000 	|00000000 	|00000000 	| 
  6.5 	| 00000a08 |00000000 	|00000000 	|00000000 	| 
  6.5 	| 00000a0c |00000000 	|00000000 	|00000000 	| 
  6.5 	| 00000a10 |00000000 	|00000000 	|00000000 	| 
  6.5 	| 00000a14 |00000000 	|00000000 	|00000000 	| 
  6.5 	| 00000a18 |00000000 	|00000000 	|00000000 	| 
  6.5 	| 00000a1c |00000000 	|00000000 	|00000000 	| 
  6.5 	| 00000a20 |00000000 	|00000000 	|00000000 	| 
  6.5 	| 00000a24 |00000000 	|00000000 	|00000000 	| 
  6.5 	| 00000a28 |00000000 	|00000000 	|00000000 	| 
  6.5 	| 00000a2c |00000000 	|00000000 	|00000000 	| 
  6.6 	| 00000a30 |00000000 	|00000000 	|00000000 	| 
  6.6 	| 00000a34 |00000000 	|00000000 	|00000000 	| 
  6.6 	| 00000a38 |00000000 	|00000000 	|00000000 	| 
  6.6 	| 00000a3c |00000000 	|00000000 	|00000000 	| 
  6.6 	| 00000a40 |00000000 	|00000000 	|00000000 	| 
  6.6 	| 00000a44 |00000000 	|00000000 	|00000000 	| 
  6.6 	| 00000a48 |00000000 	|00000000 	|00000000 	| 
  6.6 	| 00000a4c |00000000 	|00000000 	|00000000 	| 
  6.6 	| 00000a50 |00000000 	|00000000 	|00000000 	| 
  6.7 	| 00000a54 |00000000 	|00000000 	|00000000 	| 
  6.7 	| 00000a58 |00000000 	|00000000 	|00000000 	| 
  6.7 	| 00000a5c |00000000 	|00000000 	|00000000 	| 
  6.7 	| 00000a60 |00000000 	|00000000 	|00000000 	| 
  6.7 	| 00000a64 |00000000 	|00000000 	|00000000 	| 
  6.7 	| 00000a68 |00000000 	|00000000 	|00000000 	| 
  6.7 	| 00000a6c |00000000 	|00000000 	|00000000 	| 
  6.7 	| 00000a70 |00000000 	|00000000 	|00000000 	| 
  6.7 	| 00000a74 |00000000 	|00000000 	|00000000 	| 
  6.7 	| 00000a78 |00000000 	|00000000 	|00000000 	| 
  6.8 	| 00000a7c |00000000 	|00000000 	|00000000 	| 
  6.8 	| 00000a80 |00000000 	|00000000 	|00000000 	| 
  6.8 	| 00000a84 |00000000 	|00000000 	|00000000 	| 
  6.8 	| 00000a88 |00000000 	|00000000 	|00000000 	| 
  6.8 	| 00000a8c |00000000 	|00000000 	|00000000 	| 
  6.8 	| 00000a90 |00000000 	|00000000 	|00000000 	| 
  6.8 	| 00000a94 |00000000 	|00000000 	|00000000 	| 
  6.8 	| 00000a98 |00000000 	|00000000 	|00000000 	| 
  6.8 	| 00000a9c |00000000 	|00000000 	|00000000 	| 
  6.8 	| 00000aa0 |00000000 	|00000000 	|00000000 	| 
  6.8 	| 00000aa4 |00000000 	|00000000 	|00000000 	| 
  6.9 	| 00000aa8 |00000000 	|00000000 	|00000000 	| 
  6.9 	| 00000aac |00000000 	|00000000 	|00000000 	| 
  6.9 	| 00000ab0 |00000000 	|00000000 	|00000000 	| 
  6.9 	| 00000ab4 |00000000 	|00000000 	|00000000 	| 
  6.9 	| 00000ab8 |00000000 	|00000000 	|00000000 	| 
  6.9 	| 00000abc |00000000 	|00000000 	|00000000 	| 
  6.9 	| 00000ac0 |00000000 	|00000000 	|00000000 	| 
  6.9 	| 00000ac4 |00000000 	|00000000 	|00000000 	| 
  6.9 	| 00000ac8 |00000000 	|00000000 	|00000000 	| 
  7.0 	| 00000acc |00000000 	|00000000 	|00000000 	| 
  7.0 	| 00000ad0 |00000000 	|00000000 	|00000000 	| 
  7.0 	| 00000ad4 |00000000 	|00000000 	|00000000 	| 
  7.0 	| 00000ad8 |00000000 	|00000000 	|00000000 	| 
  7.0 	| 00000adc |00000000 	|00000000 	|00000000 	| 
  7.0 	| 00000ae0 |00000000 	|00000000 	|00000000 	| 
  7.0 	| 00000ae4 |00000000 	|00000000 	|00000000 	| 
  7.0 	| 00000ae8 |00000000 	|00000000 	|00000000 	| 
  7.0 	| 00000aec |00000000 	|00000000 	|00000000 	| 
  7.0 	| 00000af0 |00000000 	|00000000 	|00000000 	| 
  7.0 	| 00000af4 |00000000 	|00000000 	|00000000 	| 
  7.1 	| 00000af8 |00000000 	|00000000 	|00000000 	| 
  7.1 	| 00000afc |00000000 	|00000000 	|00000000 	| 
  7.1 	| 00000b00 |00000000 	|00000000 	|00000000 	| 
  7.1 	| 00000b04 |00000000 	|00000000 	|00000000 	| 
  7.1 	| 00000b08 |00000000 	|00000000 	|00000000 	| 
  7.1 	| 00000b0c |00000000 	|00000000 	|00000000 	| 
  7.1 	| 00000b10 |00000000 	|00000000 	|00000000 	| 
  7.1 	| 00000b14 |00000000 	|00000000 	|00000000 	| 
  7.1 	| 00000b18 |00000000 	|00000000 	|00000000 	| 
  7.2 	| 00000b1c |00000000 	|00000000 	|00000000 	| 
  7.2 	| 00000b20 |00000000 	|00000000 	|00000000 	| 
  7.2 	| 00000b24 |00000000 	|00000000 	|00000000 	| 
  7.2 	| 00000b28 |00000000 	|00000000 	|00000000 	| 
  7.2 	| 00000b2c |00000000 	|00000000 	|00000000 	| 
  7.2 	| 00000b30 |00000000 	|00000000 	|00000000 	| 
  7.2 	| 00000b34 |00000000 	|00000000 	|00000000 	| 
  7.2 	| 00000b38 |00000000 	|00000000 	|00000000 	| 
  7.2 	| 00000b3c |00000000 	|00000000 	|00000000 	| 
  7.2 	| 00000b40 |00000000 	|00000000 	|00000000 	| 
  7.3 	| 00000b44 |00000000 	|00000000 	|00000000 	| 
  7.3 	| 00000b48 |00000000 	|00000000 	|00000000 	| 
  7.3 	| 00000b4c |00000000 	|00000000 	|00000000 	| 
  7.3 	| 00000b50 |00000000 	|00000000 	|00000000 	| 
  7.3 	| 00000b54 |00000000 	|00000000 	|00000000 	| 
  7.3 	| 00000b58 |00000000 	|00000000 	|00000000 	| 
  7.3 	| 00000b5c |00000000 	|00000000 	|00000000 	| 
  7.3 	| 00000b60 |00000000 	|00000000 	|00000000 	| 
  7.3 	| 00000b64 |00000000 	|00000000 	|00000000 	| 
  7.3 	| 00000b68 |00000000 	|00000000 	|00000000 	| 
  7.3 	| 00000b6c |00000000 	|00000000 	|00000000 	| 
  7.4 	| 00000b70 |00000000 	|00000000 	|00000000 	| 
  7.4 	| 00000b74 |00000000 	|00000000 	|00000000 	| 
  7.4 	| 00000b78 |00000000 	|00000000 	|00000000 	| 
  7.4 	| 00000b7c |00000000 	|00000000 	|00000000 	| 
  7.4 	| 00000b80 |00000000 	|00000000 	|00000000 	| 
  7.4 	| 00000b84 |00000000 	|00000000 	|00000000 	| 
  7.4 	| 00000b88 |00000000 	|00000000 	|00000000 	| 
  7.4 	| 00000b8c |00000000 	|00000000 	|00000000 	| 
  7.4 	| 00000b90 |00000000 	|00000000 	|00000000 	| 
  7.5 	| 00000b94 |00000000 	|00000000 	|00000000 	| 
  7.5 	| 00000b98 |00000000 	|00000000 	|00000000 	| 
  7.5 	| 00000b9c |00000000 	|00000000 	|00000000 	| 
  7.5 	| 00000ba0 |00000000 	|00000000 	|00000000 	| 
  7.5 	| 00000ba4 |00000000 	|00000000 	|00000000 	| 
  7.5 	| 00000ba8 |00000000 	|00000000 	|00000000 	| 
  7.5 	| 00000bac |00000000 	|00000000 	|00000000 	| 
  7.5 	| 00000bb0 |00000000 	|00000000 	|00000000 	| 
  7.5 	| 00000bb4 |00000000 	|00000000 	|00000000 	| 
  7.5 	| 00000bb8 |00000000 	|00000000 	|00000000 	| 
  7.5 	| 00000bbc |00000000 	|00000000 	|00000000 	| 
  7.6 	| 00000bc0 |00000000 	|00000000 	|00000000 	| 
  7.6 	| 00000bc4 |00000000 	|00000000 	|00000000 	| 
  7.6 	| 00000bc8 |00000000 	|00000000 	|00000000 	| 
  7.6 	| 00000bcc |00000000 	|00000000 	|00000000 	| 
  7.6 	| 00000bd0 |00000000 	|00000000 	|00000000 	| 
  7.6 	| 00000bd4 |00000000 	|00000000 	|00000000 	| 
  7.6 	| 00000bd8 |00000000 	|00000000 	|00000000 	| 
  7.6 	| 00000bdc |00000000 	|00000000 	|00000000 	| 
  7.6 	| 00000be0 |00000000 	|00000000 	|00000000 	| 
  7.7 	| 00000be4 |00000000 	|00000000 	|00000000 	| 
  7.7 	| 00000be8 |00000000 	|00000000 	|00000000 	| 
  7.7 	| 00000bec |00000000 	|00000000 	|00000000 	| 
  7.7 	| 00000bf0 |00000000 	|00000000 	|00000000 	| 
  7.7 	| 00000bf4 |00000000 	|00000000 	|00000000 	| 
  7.7 	| 00000bf8 |00000000 	|00000000 	|00000000 	| 
  7.7 	| 00000bfc |00000000 	|00000000 	|00000000 	| 
  7.7 	| 00000c00 |00000000 	|00000000 	|00000000 	| 
  7.7 	| 00000c04 |00000000 	|00000000 	|00000000 	| 
  7.7 	| 00000c08 |00000000 	|00000000 	|00000000 	| 
  7.8 	| 00000c0c |00000000 	|00000000 	|00000000 	| 
  7.8 	| 00000c10 |00000000 	|00000000 	|00000000 	| 
  7.8 	| 00000c14 |00000000 	|00000000 	|00000000 	| 
  7.8 	| 00000c18 |00000000 	|00000000 	|00000000 	| 
  7.8 	| 00000c1c |00000000 	|00000000 	|00000000 	| 
  7.8 	| 00000c20 |00000000 	|00000000 	|00000000 	| 
  7.8 	| 00000c24 |00000000 	|00000000 	|00000000 	| 
  7.8 	| 00000c28 |00000000 	|00000000 	|00000000 	| 
  7.8 	| 00000c2c |00000000 	|00000000 	|00000000 	| 
  7.8 	| 00000c30 |00000000 	|00000000 	|00000000 	| 
  7.8 	| 00000c34 |00000000 	|00000000 	|00000000 	| 
  7.9 	| 00000c38 |00000000 	|00000000 	|00000000 	| 
  7.9 	| 00000c3c |00000000 	|00000000 	|00000000 	| 
  7.9 	| 00000c40 |00000000 	|00000000 	|00000000 	| 
  7.9 	| 00000c44 |00000000 	|00000000 	|00000000 	| 
  7.9 	| 00000c48 |00000000 	|00000000 	|00000000 	| 
  7.9 	| 00000c4c |00000000 	|00000000 	|00000000 	| 
  7.9 	| 00000c50 |00000000 	|00000000 	|00000000 	| 
  7.9 	| 00000c54 |00000000 	|00000000 	|00000000 	| 
  7.9 	| 00000c58 |00000000 	|00000000 	|00000000 	| 
  8.0 	| 00000c5c |00000000 	|00000000 	|00000000 	| 
  8.0 	| 00000c60 |00000000 	|00000000 	|00000000 	| 
  8.0 	| 00000c64 |00000000 	|00000000 	|00000000 	| 
  8.0 	| 00000c68 |00000000 	|00000000 	|00000000 	| 
  8.0 	| 00000c6c |00000000 	|00000000 	|00000000 	| 
  8.0 	| 00000c70 |00000000 	|00000000 	|00000000 	| 
  8.0 	| 00000c74 |00000000 	|00000000 	|00000000 	| 
  8.0 	| 00000c78 |00000000 	|00000000 	|00000000 	| 
  8.0 	| 00000c7c |00000000 	|00000000 	|00000000 	| 
  8.0 	| 00000c80 |00000000 	|00000000 	|00000000 	| 
  8.1 	| 00000c84 |00000000 	|00000000 	|00000000 	| 
  8.1 	| 00000c88 |00000000 	|00000000 	|00000000 	| 
  8.1 	| 00000c8c |00000000 	|00000000 	|00000000 	| 
  8.1 	| 00000c90 |00000000 	|00000000 	|00000000 	| 
  8.1 	| 00000c94 |00000000 	|00000000 	|00000000 	| 
  8.1 	| 00000c98 |00000000 	|00000000 	|00000000 	| 
  8.1 	| 00000c9c |00000000 	|00000000 	|00000000 	| 
  8.1 	| 00000ca0 |00000000 	|00000000 	|00000000 	| 
  8.1 	| 00000ca4 |00000000 	|00000000 	|00000000 	| 
  8.1 	| 00000ca8 |00000000 	|00000000 	|00000000 	| 
  8.2 	| 00000cac |00000000 	|00000000 	|00000000 	| 
  8.2 	| 00000cb0 |00000000 	|00000000 	|00000000 	| 
  8.2 	| 00000cb4 |00000000 	|00000000 	|00000000 	| 
  8.2 	| 00000cb8 |00000000 	|00000000 	|00000000 	| 
  8.2 	| 00000cbc |00000000 	|00000000 	|00000000 	| 
  8.2 	| 00000cc0 |00000000 	|00000000 	|00000000 	| 
